2025.11.16 09:01:02 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:01:02 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:01:03 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:01:06 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:01:09 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:01:09 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\DocumentNumberValidator.java. Using fallback presentation compiler.
2025.11.16 09:01:09 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\DocumentNumberValidator.java. Using fallback presentation compiler.
2025.11.16 09:02:18 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\DocumentNumberValidator.java. Using fallback presentation compiler.
2025.11.16 09:03:16 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\AuthenticationRequest.java. Using fallback presentation compiler.
2025.11.16 09:03:16 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\AuthenticationRequest.java. Using fallback presentation compiler.
2025.11.16 09:03:18 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\AuthenticationRequest.java. Using fallback presentation compiler.
